S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount

1,2021021001021391,PRVU,59,45,200,492,98400.00

2,2021021003019962,ICFC,49,55,715,319,228085.00

3,2021021003019961,ICFC,49,26,200,319,63800.00

4,2021021003019960,ICFC,49,6,85,319,27115.00

5,2021021003019959,MERO,14,14,100,1115,111500.00

6,2021021001021390,KBL,49,35,50,311,15550.00

7,2021021003019958,MPFL,26,34,735,190,139650.00

8,2021021003019957,MPFL,42,34,500,190,95000.00

9,2021021003019956,MPFL,51,34,200,190,38000.00

10,2021021005001834,PLI,59,28,10,841,8410.00

11,2021021003019955,MPFL,51,34,65,190,12350.00

12,2021021003019954,SKBBL,32,32,275,1675,460625.00

13,2021021003019953,ACLBSL,6,45,10,1754,17540.00

14,2021021004013039,API,37,58,986,283,279038.00

15,2021021004013038,API,54,58,14,283,3962.00

16,2021021004013037,SHPC,4,11,136,361,49096.00

17,2021021004013036,SHPC,4,11,364,362,131768.00

18,2021021004013035,UMHL,34,5,279,170,47430.00

19,2021021004013034,UMHL,34,29,21,170,3570.00

20,2021021004013033,NIBSF1,17,17,5000,12.49,62450.00

Page 1/280212345678910NextLast

Total Amount Rs.,"6,870,766,124"

Total Quantity,"13,494,292"